2023-11-12 23:10:21.613 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1157 ms
2023-11-12 23:10:22.746 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 23:10:22.776 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6a834498, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41ea34c0, org.springframework.security.web.context.SecurityContextHolderFilter@6fbc4fcd, org.springframework.security.web.header.HeaderWriterFilter@4be8f6c6, org.springframework.security.web.authentication.logout.LogoutFilter@39fc8760, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@44415942, com.hp.blogserver.security.filter.LoginAuthenticationFilter@358a75fe, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6fbf8e31, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35f08967, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@455d5053, org.springframework.security.web.access.ExceptionTranslationFilter@529dcfa3, org.springframework.security.web.access.intercept.AuthorizationFilter@2ef56b74]
2023-11-12 23:10:23.012 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-11-12 23:10:23.046 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-11-12 23:10:23.060 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-12 23:10:23.070 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Started BlogServerApplication in 2.957 seconds (process running for 3.388)
2023-11-12 23:10:53.306 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2023-11-12 23:10:53.318 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:10:53.319 [Thread-5] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-11-12 23:10:53.322 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2023-11-12 23:10:53.324 [Thread-5] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2023-11-12 23:10:53.392 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - Starting BlogServerApplication using Java 17.0.9 with PID 24568 (C:\Users\20126\Desktop\blog\blog-server\target\classes started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 23:10:53.392 [restartedMain] INFO  com.hp.blogserver.BlogServerApplication - The following 1 profile is active: "dev"
2023-11-12 23:10:53.655 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-11-12 23:10:53.655 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-12 23:10:53.655 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-11-12 23:10:53.655 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
