2023-11-12 20:16:33.132 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.PermMapperTest
2023-11-12 20:16:33.193 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.RoleMapperTest]: RoleMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:16:33.195 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.RoleMapperTest
2023-11-12 20:16:33.225 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.UserMapperTest]: UserMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:16:33.226 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.UserMapperTest
2023-11-12 20:16:33.399 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.service.MenuServiceTest]: MenuServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:16:33.405 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.service.MenuServiceTest
2023-11-12 20:16:37.810 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.service.PermServiceTest]: PermServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 20:16:37.812 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.service.PermServiceTest
2023-11-12 20:16:37.853 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-11-12 20:16:37.926 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-11-12 21:19:05.332 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2023-11-12 21:19:05.353 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Starting BlogServerApplicationTests using Java 17.0.9 with PID 28384 (started by 20126 in C:\Users\20126\Desktop\blog\blog-server)
2023-11-12 21:19:05.354 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - The following 1 profile is active: "prod"
2023-11-12 21:19:08.805 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7a47f0be, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2d8087da, org.springframework.security.web.context.SecurityContextHolderFilter@26f204a4, org.springframework.security.web.header.HeaderWriterFilter@dd060be, org.springframework.security.web.authentication.logout.LogoutFilter@3aeb267, com.hp.blogserver.security.filter.JwtAuthenticationTokenFilter@4f7ef948, com.hp.blogserver.security.filter.LoginAuthenticationFilter@6fdaef04, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4e671ef, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@219edc05, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2a5d2041, org.springframework.security.web.access.ExceptionTranslationFilter@645c9f0f, org.springframework.security.web.access.intercept.AuthorizationFilter@74e2cfc5]
2023-11-12 21:19:11.049 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-11-12 21:19:11.167 [main] INFO  com.hp.blogserver.BlogServerApplicationTests - Started BlogServerApplicationTests in 6.133 seconds (process running for 6.817)
2023-11-12 21:19:12.154 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.hp.blogserver.mapper.DeptMapperTest]: DeptMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-11-12 21:19:12.166 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.hp.blogserver.BlogServerApplication for test class com.hp.blogserver.mapper.DeptMapperTest
